,gsis_id,display_name,common_first_name,first_name,last_name,short_name,football_name,suffix,esb_id,nfl_id,pfr_id,pff_id,otc_id,espn_id,smart_id,birth_date,position_group,position,ngs_position_group,ngs_position,height,weight,headshot,college_name,college_conference,jersey_number,rookie_season,last_season,latest_team,status,ngs_status,ngs_status_short_description,years_of_experience,pff_position,pff_status,draft_year,draft_round,draft_pick,draft_team
22370,00-0032841,Paul Turner,Paul,Paul,Turner,P.Turner,Paul,,TUR636473,43908.0,TurnPa01,11082.0,5186.0,2577286.0,32005455-5263-6473-bad5-f2c4b45de82b,1993-05-10,WR,WR,,,70.0,193.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/wgyx2hl1v4lgcyxrepqz",Louisiana Tech,,19.0,2016,2016,PHI,ACT,CUT,,0,WR,,,,,
22372,TUR650016,Richard Turner,Richard,Richard,Turner,,,,TUR650016,,TurnRi20,,,,32005455-5265-0016-fe67-1dc84046d5ce,1959-02-14,DL,NT,,,74.0,260.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/sdmrgwjmqoo7relifimb",Oklahoma,,0.0,1981,1983,GB,ACT,,,3,,,1981.0,4.0,105.0,GB
22424,TYR664464,Tim Tyrrell,Tim,Timothy,Tyrrell,,,,TYR664464,,TyrrTi20,,,,32005459-5266-4464-43c9-e9b7e35c7a74,1961-02-19,RB,RB,,,73.0,204.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/mhnd7aaaro5n4l4byzyw",Northern Illinois; William Rainey Harper College,,0.0,1984,1989,PIT,ACT,,,6,,,,,,
22425,00-0029309,DeAngelo Tyson,DeAngelo,DeAngelo,Tyson,,,,TYS379291,38766.0,TysoDe00,7220.0,1372.0,15059.0,32005459-5337-9291-5604-5e87dc9bd1a8,1989-04-12,DL,DE,,,74.0,315.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/dobpaaopdzslsvpp4h0c",Georgia,,93.0,2012,2014,BAL,ACT,,,3,DI,,2012.0,7.0,236.0,BAL
22429,00-0036159,Joshua Uche,Joshua,Joshua,Uche,J.Uche,Joshua,,UCH415291,52468.0,UcheJo00,27379.0,8800.0,4046528.0,32005543-4841-5291-3f1b-884a013e452e,1998-09-18,LB,LB,DL,EDGE,75.0,252.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/dtuiphmwezecyapeyefe",Michigan,Big Ten Conference,9.0,2020,2026,MIA,ACT,ACT,Active,7,ED,A,2020.0,2.0,60.0,NE
22431,00-0034994,Olisaemeka Udoh,Olisaemeka,Olisaemeka,Udoh,O.Udoh,Olisaemeka,,UDO489451,47976.0,UdohOl01,28394.0,7984.0,3120502.0,32005544-4f48-9451-1839-5671f0b17981,1997-02-14,OL,OT,OL,G,78.0,320.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/i4odgbpj1mebaq92mpo2",Elon,Colonial Athletic Association,72.0,2019,2025,TEN,ACT,CUT,Active,7,T,A,2019.0,6.0,193.0,MIN
22432,00-0016779,Keith Uecker,Keith,Richard,Uecker,,,,UEC415291,,UeckKe20,,,,32005545-4341-5291-73a5-5cc7f9f5680a,1960-06-20,OL,OT,,,77.0,260.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/b1npufzicbouy3tft5tn",Auburn,,0.0,1982,1991,GB,ACT,,,8,,,1982.0,9.0,243.0,DEN
22433,00-0025429,Tony Ugoh,Tony,Anthony,Ugoh,,,,UGO266972,32235.0,UgohTo20,3658.0,6706.0,10486.0,32005547-4f26-6972-3cbc-f9b47f57f915,1983-11-17,OL,G,,,77.0,301.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/i8sjbrxmhdj71r0m4ljf",Arkansas,,70.0,2007,2011,NYG,ACT,,,5,T,,2007.0,2.0,42.0,IND
22441,00-0016782,Artie Ulmer,Artie,Charles,Ulmer,,,,ULM403291,22550.0,UlmeAr20,2871.0,,1403.0,3200554c-4d40-3291-4e65-9e106105c416,1973-07-30,LB,LB,,,75.0,247.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/kfhu4ois69coocchg4hh",Valdosta State; Georgia Southern,,54.0,1997,2005,ATL,ACT,,,8,,,1997.0,7.0,220.0,MIN
22442,ULM415291,Mike Ulmer,Mike,Michael,Ulmer,,,,ULM415291,,UlmeMi20,,,,3200554c-4d41-5291-eaab-d89c1ba6dfa8,1954-12-28,DB,DB,,,72.0,196.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/vakqij91gphgabou5348",Doane,,0.0,1980,1987,PHI,ACT,,,2,,,,,,
22444,00-0023207,Matt Ulrich,Matt,Matthew,Ulrich,,,,ULR437791,,UlriMa20,,,,3200554c-5243-7791-86c7-0dbadba15034,1981-12-30,OL,G,,,74.0,309.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/jcwdt1drjsrw4j7wp8xi",Northwestern,,69.0,2005,2006,IND,ACT,,,2,,,,,,
22447,00-0040136,Princely Umanmielen,Princely,Princely,Umanmielen,P.Umanmielen,Princely,,UMA415291,58282.0,UmanPr00,124398.0,12437.0,4429166.0,3200554d-4141-5291-8d99-692229ea4717,2002-04-18,LB,LB,DL,EDGE,76.0,244.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/rqdqyoypjti8cg2weguu",Mississippi; Florida,Southeastern Conference,3.0,2025,2026,CAR,ACT,ACT,Active,2,ED,A,2025.0,3.0,77.0,CAR
22449,00-0021977,Osi Umenyiora,Osi,Osi,Umenyiora,,,,UME444955,28092.0,UmenOs99,1371.0,138.0,4514.0,3200554d-4544-4955-c377-0d3342c1fa91,1981-11-16,DL,DE,,,75.0,255.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/okxeyp4lz63csaq0i6hl",Troy,,50.0,2003,2014,ATL,ACT,,,12,ED,,2003.0,2.0,56.0,NYG
22451,UMP415291,Rich Umphrey,Rich,Richard,Umphrey,,,,UMP415291,,UmphRi20,,,,3200554d-5041-5291-9041-7bd5d4c5ac66,1958-12-13,OL,C,,,75.0,263.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/xjqhibrir1qveuh0iyxr",Colorado; Utah,,0.0,1982,1985,LAC,ACT,,,4,,,1982.0,5.0,129.0,NYG
22452,00-0021607,Mason Unck,Mason,Mason,Unck,,,,UNC355964,,UnckMa20,,,5284.0,3200554e-4335-5964-646d-bd87d8fe555a,1980-03-30,LB,LB,,,75.0,238.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/mz6cogsqpjo5bqah3ltb",Arizona State,,53.0,2003,2006,CLE,ACT,,,3,,,,,,
22453,00-0026934,Brandon Underwood,Brandon,Brandon,Underwood,,,,UND181395,34638.0,UndeBr99,5111.0,607.0,12741.0,3200554e-4418-1395-875b-66be96cb76a4,1986-06-24,DB,CB,,,73.0,191.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/j9xr4ostkjb2y4ocdqsp",Cincinnati; Ohio State,,28.0,2009,2010,GB,ACT,,,2,CB,,2009.0,6.0,187.0,GB
22457,00-0040925,Rocco Underwood,Rocco,Jonathan,Underwood,R.Underwood,Rocco,,UND625185,63002.0,UndeRo00,,,4686566.0,3200554e-4462-5185-e573-4f4e5480b3c2,2002-08-14,SPEC,LS,,,75.0,231.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/mjupt0sbxzpgr71e9oy3",Florida,Southeastern Conference,41.0,2026,2026,PHI,ACT,ACT,Active,0,,,,,,
22459,00-0027156,Tiquan Underwood,Tiquan,Tiquan,Underwood,,,,UND628560,34704.0,UndeTi00,5177.0,373.0,12600.0,3200554e-4462-8560-98e8-4aa903c7968d,1987-02-17,WR,WR,,,73.0,183.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/mlpwbwejhkpise4zhbms",Rutgers,,11.0,2009,2013,TB,ACT,,,5,WR,,2009.0,7.0,253.0,JAX
22463,00-0027025,Max Unger,Max,Maxwell,Unger,M.Unger,Max,,UNG408916,34500.0,UngeMa20,4972.0,1559.0,12624.0,3200554e-4740-8916-7317-952d2a498a9b,1986-04-14,OL,C,OL,C,77.0,305.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/zspyq1pcjhjuvcj9se5q",Oregon,Pacific Ten Conference,60.0,2009,2018,NO,ACT,ACT,Active,10,C,,2009.0,2.0,49.0,SEA
22465,UNR415291,Terry Unrein,Terry,Terrance,Unrein,,,,UNR415291,,UnreTe20,,,,3200554e-5241-5291-315a-e9602f7b0675,1962-10-24,DL,DE,,,77.0,281.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/pierngjw2zkoq8rqsmgs",Colorado State,,0.0,1986,1987,LAC,ACT,,,2,,,1986.0,3.0,66.0,LAC
22467,00-0016796,Eric Unverzagt,Eric,Eric,Unverzagt,,,,UNV177981,,UnveEr20,,,8020.0,3200554e-5617-7981-eee0-ca5320040dd3,1972-12-18,LB,LB,,,73.0,241.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ollrt0qjszsixxzqt6dp",Wisconsin,,53.0,1996,1997,SEA,ACT,,,2,,,1996.0,4.0,131.0,SEA
22468,UPC415291,Rick Upchurch,Rick,Richard,Upchurch,,,,UPC415291,,UpchRi00,,,,32005550-4341-5291-2e7a-f9d9224e79eb,1952-05-20,WR,WR,,,70.0,175.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ur6o8rbnx0nqz7nhwccp",Minnesota; Indian Hills CC at Centerville,,0.0,1975,1983,DEN,ACT,,,9,,,1975.0,4.0,95.0,DEN
22471,00-0029252,Courtney Upshaw,Courtney,Courtney,Upshaw,C.Upshaw,Courtney,,UPS271236,38565.0,UpshCo00,7039.0,1370.0,14970.0,32005550-5327-1236-48f7-974b0921d39d,1989-12-13,DL,DE,,,74.0,272.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/bkkxvqrsgpuunchyqbk5",Alabama,,91.0,2012,2017,ATL,ACT,CUT,,6,ED,,2012.0,2.0,35.0,BAL
22472,UPS276861,Gene Upshaw,Gene,Eugene,Upshaw,,,,UPS276861,,UpshGe00,,,,32005550-5327-6861-6b0d-cc7fca5384df,1945-08-15,OL,G,,,77.0,255.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/klee6wrsaudhkonpaj9j",Texas A&M University-Kingsville,,0.0,1974,1981,LV,ACT,,,15,,,,,,
22473,UPS553722,Marv Upshaw,Marv,Marvin,Upshaw,,,,UPS553722,,UpshMa20,,,,32005550-5355-3722-5885-cee03a16b114,1946-11-22,DL,DT,,,76.0,260.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/fo33zvgff4byw2opei2x",Trinity University Texas,,0.0,1974,1976,LA,ACT,,,9,,,,,,
22423,TYR332232,Jim Tyrer,Jim,James,Tyrer,,,,TYR332232,,TyreJi00,,,,32005459-5233-2232-4223-d5c6879c76e0,1939-02-25,OL,OT,,,78.0,280.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/j9a9utdik24nyew1h8di",Ohio State,,0.0,1974,1974,WAS,ACT,,,14,,,,,,
22422,00-0021927,David Tyree,David,David,Tyree,,,,TYR159366,28247.0,TyreDa00,1511.0,,4669.0,32005459-5215-9366-b1fd-12192a7e9885,1980-01-03,WR,WR,,,72.0,206.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/jdwv4lgsjgsme2xyxfht",Syracuse,,17.0,2003,2009,BAL,ACT,,,7,,,2003.0,6.0,211.0,NYG
22420,00-0016772,Scott Tyner,Scott,Scott,Tyner,,,,TYN401791,,TyneSc20,,,7772.0,32005459-4e40-1791-5e57-22df2c30bd59,1972-04-11,SPEC,P,,,73.0,189.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ttqvxnh0c9srqsrmuvgz",Oklahoma State; Trinity Valley CC,,0.0,1994,1994,ATL,ACT,,,0,,,,,,
22418,00-0016771,Rich Tylski,Rich,Richard,Tylski,,,,TYL787434,,TylsRi20,,,961.0,32005459-4c78-7434-c375-aee268834925,1971-02-27,OL,G,,,76.0,305.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/dwtvasyaehlwgw411sqr",Utah State,,65.0,1996,2004,CAR,ACT,,,7,,,,,,
22373,TUR659016,Ricky Turner,Ricky,Ricky,Turner,,,,TUR659016,,TurnRi21,,,,32005455-5265-9016-68e8-f0f2d7dee77d,1962-05-14,QB,QB,,,72.0,190.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/lsoglonu6mjzwc5clgli",Washington State,,0.0,1988,1988,IND,ACT,,,0,,,,,,
22375,TUR668072,Robert Turner,Robert,Robert,Turner,,,,TUR668072,,TurnRo20,,,,32005455-5266-8072-143e-2d4ced484e17,1954-03-06,RB,RB,,,71.0,200.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/fhmaq7hoxxwcqmypennh",Oklahoma State,,0.0,1978,1978,HOU,ACT,,,1,,,1977.0,9.0,237.0,MIA
22378,00-0016741,T.J. Turner,T.J.,Thomas,Turner,,,,TUR704184,,TurnT.20,,,,32005455-5270-4184-5642-de79fb4f585b,1963-05-16,DL,DE,,,76.0,265.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/kpclz17hroze359hfm4q",Houston,,0.0,1986,1992,MIA,ACT,,,7,,,1986.0,3.0,81.0,MIA
22383,00-0031433,Billy Turner,Billy,William,Turner,B.Turner,Billy,,TUR164810,41296.0,TurnBi00,8702.0,3006.0,16759.0,32005455-5216-4810-f0b6-f81e7e5ba783,1991-10-17,OL,OT,OL,T,77.0,313.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ngrm1ns70xyop3uwsha2",North Dakota State,Missouri Valley Football Conference,54.0,2014,2023,NYJ,ACT,ACT,Active,10,T,A,2014.0,3.0,67.0,MIA
22384,TUR749324,Bill Turner,Bill,William,Turner,,,,TUR749324,,TurnBi20,,,,32005455-5274-9324-b59a-5b689e8bc1a5,1960-03-05,OL,G,,,76.0,245.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/sufydtc8ggqbozxohu9f",St. Francis Xavier University; Boston College; Dean JC,,0.0,1987,1987,NE,ACT,,,0,,,,,,
22385,TUR758352,Wylie Turner,Wylie,Wylie,Turner,,,,TUR758352,,TurnWy20,,,,32005455-5275-8352-eca7-e01808e0ec94,1957-04-19,DB,DB,,,70.0,182.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/sn0wfj88s0qqrgndrw4a",Angelo State University,,0.0,1979,1980,GB,ACT,,,2,,,,,,
22388,TUR776408,Tom Turnure,Tom,Thomas,Turnure,,,,TUR776408,,TurnTo20,,,,32005455-5277-6408-5a39-98f71b93e88e,1957-07-09,OL,C,,,76.0,250.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/vkiged7oen67fsm0gi5g",Washington,,0.0,1980,1986,DET,ACT,,,6,,,1980.0,3.0,57.0,DET
22389,00-0037801,KaVontae Turpin,KaVontae,KaVontae,Turpin,K.Turpin,Kavontae,,TUR785436,53117.0,TurpKa00,47658.0,10803.0,3676833.0,32005455-5278-5436-f08f-3e4ec71654f2,1996-08-02,WR,WR,WR,WR,67.0,158.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/tayjlp1hgmm6rewgl1k4",TCU,Big Twelve Conference,9.0,2022,2026,DAL,ACT,ACT,Active,5,WR,A,,,,
22390,TUR794464,Miles Turpin,Miles,Miles,Turpin,,,,TUR794464,,TurpMi20,,,,32005455-5279-4464-c355-8519ec942f91,1964-05-15,LB,LB,,,76.0,230.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/xn3af1slrcssd95slsi1",California,,0.0,1986,1987,TB,ACT,,,1,,,,,,
22391,TUR812520,Willie Turral,Willie,Willie,Turral,,,,TUR812520,,TurrWi20,,,,32005455-5281-2520-57fe-9e7f49913a58,1964-02-01,RB,RB,,,70.0,190.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/dbi0l6loepsx0eavmvg0",New Mexico,,0.0,1987,1987,PHI,ACT,,,0,,,,,,
22393,00-0036440,Derrek Tuszka,Derrek,Derrek,Tuszka,D.Tuszka,Derrek,,TUS415291,52662.0,TuszDe00,37724.0,8994.0,3930915.0,32005455-5341-5291-bd94-f042de383126,1996-07-11,LB,LB,DL,EDGE,76.0,246.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/wiwut7roauqr83n1vrxp",North Dakota State,Missouri Valley Football Conference,59.0,2020,2022,LAC,ACT,ACT,Active,3,ED,A,2020.0,7.0,254.0,DEN
22276,TUC369148,Travis Tucker,Travis,Travis,Tucker,,,,TUC369148,,TuckTr20,,,,32005455-4336-9148-924b-0bee5d9d2a5f,1963-09-19,TE,TE,,,75.0,234.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/xxmsn8audvhwztiygfvn",Southern Connecticut State,,0.0,1985,1987,CLE,ACT,,,3,,,1985.0,11.0,287.0,CLE
22394,00-0040719,Bhayshul Tuten,Bhayshul,Bhayshul,Tuten,B.Tuten,Bhayshul,,TUT066215,58309.0,TuteBh00,150568.0,12464.0,4882093.0,32005455-5406-6215-da3b-cbf31441af43,2002-02-14,RB,RB,RB,RB,69.0,209.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ryjnphuyjbedmgpx5qqj",Virginia Tech; North Carolina A&T,Atlantic Coast Conference,33.0,2025,2026,JAX,ACT,ACT,Active,2,HB,A,2025.0,4.0,104.0,JAX
22401,TUT692150,Perry Tuttle,Perry,Perry,Tuttle,,,,TUT692150,,TuttPe00,,,,32005455-5469-2150-f708-b59e6419ad1e,1959-08-02,WR,WR,,,72.0,178.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/wf5k5ivaaq17cqdq2guh",Clemson,,0.0,1982,1984,ATL,ACT,,,3,,,1982.0,1.0,19.0,BUF
22402,00-0035409,Shy Tuttle,Shy,Shyheim,Tuttle,S.Tuttle,Shy,,TUT703400,48544.0,TuttSh00,37279.0,8360.0,3886601.0,32005455-5470-3400-6d15-44afb84d58b9,1995-10-20,DL,DT,DL,INTERIOR_LINE,75.0,300.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/lcio402os2qzxmchbvvw",Tennessee,Southeastern Conference,96.0,2019,2026,WAS,ACT,ACT,Active,8,DI,A,,,,
22403,TUZ415291,Vinny Tuzeo,Vinny,Vincent,Tuzeo,,,,TUZ415291,,,,,,32005455-5a41-5291-66ab-366466fcf7f0,1965-09-24,OL,C,,,75.0,260.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/clahmfu0s2qlfjtxwhre",Fordham,,0.0,1987,1987,NYJ,ACT,,,0,,,,,,
22404,TWE553722,Rodney Tweet,Rodney,Rodney,Tweet,,,,TWE553722,,TweeRo20,,,,32005457-4555-3722-5e4f-cd164c0e092f,1964-02-20,WR,WR,,,73.0,195.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/lvtgs0f1icap1ewgipn7",South Dakota,,0.0,1987,1987,CIN,ACT,,,0,,,,,,
22405,TWI415291,Howard Twilley,Howard,Howard,Twilley,,,,TWI415291,,TwilHo00,,,,32005457-4941-5291-b3e8-c2b759392d06,1943-12-25,WR,WR,,,70.0,185.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/s1thhon2v4dn8gdqyegm",Tulsa,,0.0,1974,1976,MIA,ACT,,,11,,,,,,
22406,TWO415291,Darren Twombly,Darren,Darren,Twombly,,,,TWO415291,,TwomDa20,,,,32005457-4f41-5291-29f0-d5df64b2c1a7,1965-05-14,OL,C,,,76.0,270.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ytcu4iufnpkovzruklzf",Boston College,,0.0,1987,1987,NE,ACT,,,0,,,,,,
22410,TYL118654,Andre Tyler,Andre,Andre,Tyler,,,,TYL118654,,TyleAn20,,,,32005459-4c11-8654-f912-60172f50db05,1959-07-17,WR,WR,,,72.0,180.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ctkjonpydnsmsgi6fu9a",Stanford,,0.0,1982,1983,TB,ACT,,,1,,,1982.0,6.0,158.0,TB
22414,TYL237308,Maurice Tyler,Maurice,Maurice,Tyler,,,,TYL237308,,TyleMa20,,,,32005459-4c23-7308-e3a6-2a4013a1aab9,1950-07-19,DB,DB,,,72.0,188.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/rd8czdq4wu4gyk5gpghu",Morgan State; Baltimore Community College,,0.0,1974,1978,NYG,ACT,,,7,,,,,,
22415,TYL474616,Robert Tyler,Robert,Robert,Tyler,,,,TYL474616,,TyleRo00,,,,32005459-4c47-4616-5d63-dd26b8a75e57,1965-10-12,TE,TE,,,77.0,259.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/rexah7bi6f5sifbofp1e",South Carolina State,,0.0,1989,1989,SEA,ACT,,,1,,,1988.0,8.0,215.0,SEA
22416,TYL593270,Toussaint Tyler,Toussaint,Toussaint,Tyler,,,,TYL593270,,TyleTo00,,,,32005459-4c59-3270-e407-9ee21659b96e,1959-03-19,RB,RB,,,74.0,220.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ogogeb1cnn2btswwk5de",Washington,,0.0,1981,1982,NO,ACT,,,2,,,1981.0,9.0,222.0,NO
22417,TYL711924,Wendell Tyler,Wendell,Wendell,Tyler,,,,TYL711924,,TyleWe00,,,,32005459-4c71-1924-24f6-ba8e92dc7caf,1955-05-20,RB,RB,,,70.0,198.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/wbmygxckjzlmkjjpxt1h",UCLA,,0.0,1977,1986,SF,ACT,,,9,,,1977.0,3.0,79.0,LA
22399,TUT276860,Tom Tutson,Tom,Thomas,Tutson,,,,TUT276860,,TutsTo20,,,,32005455-5427-6860-9e02-b6da41f98594,1958-05-20,DB,DB,,,73.0,180.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/yk6f1ob1m5vrrn4xnnlq",South Carolina State,,0.0,1983,1983,ATL,ACT,,,1,,,1982.0,6.0,161.0,MIA
22476,00-0021647,Jerheme Urban,Jerheme,Jerheme,Urban,,,,URB377536,,UrbaJe00,1709.0,6656.0,5286.0,32005552-4237-7536-c185-301c41217dc7,1980-11-26,WR,WR,,,75.0,207.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/f0mtu7hti7l4p2er53jj",Trinity University Texas,,83.0,2003,2011,KC,ACT,,,7,WR,,,,,
22275,00-0021681,Torrin Tucker,Torrin,Torrin,Tucker,,,,TUC358648,,TuckTo20,,,5392.0,32005455-4335-8648-642c-68c33cb04399,1979-12-25,OL,OT,,,78.0,315.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/yfhirq0wpxfxwf26ohco",Southern Mississippi,,77.0,2003,2005,DAL,ACT,,,3,,,,,,
22273,00-0038951,Sean Tucker,Sean,Sean,Tucker,S.Tucker,Sean,,TUC299932,56663.0,TuckSe00,123056.0,11542.0,4430871.0,32005455-4329-9932-5316-9ae83817e6e1,2001-10-25,RB,RB,RB,RB,70.0,205.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/wiarwjvy8p6bojlratp4",Syracuse,Atlantic Coast Conference,44.0,2023,2026,TB,ACT,ACT,Active,4,HB,A,,,,
22111,TOR118654,Stacey Toran,Stacey,Stacey,Toran,,,,TOR118654,,ToraSt20,,,,3200544f-5211-8654-c14f-963d7fe59941,1961-11-10,DB,S,,,74.0,200.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/pspylpadozj5o622ekie",Notre Dame,,0.0,1984,1988,LV,ACT,,,5,,,1984.0,6.0,168.0,LV
22115,TOR474616,Eric Torkelson,Eric,Eric,Torkelson,,,,TOR474616,,TorkEr00,,,,3200544f-5247-4616-c9e7-1186bf6235f8,1952-03-23,RB,RB,,,74.0,194.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/rzakfwisbgtwqedgppe2",Connecticut,,0.0,1974,1981,GB,ACT,,,7,,,1974.0,11.0,272.0,GB
22117,00-0023186,Leigh Torrence,Leigh,Leigh,Torrence,,,,TOR692424,,TorrLe20,2817.0,6788.0,9319.0,3200544f-5269-2424-46aa-f61c3dee2587,1982-01-04,DB,DB,,,71.0,179.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/bvmjfwa4ylwlgtdd0nmh",Stanford,,24.0,2005,2011,NO,ACT,,,6,CB,,,,,
22118,00-0038548,O'Cyrus Torrence,O'Cyrus,O'Cyrus,Torrence,O.Torrence,O'Cyrus,,TOR694111,55924.0,TorrOC00,102821.0,10883.0,4428696.0,3200544f-5269-4111-dab8-fa9ef6354288,2000-01-20,OL,G,OL,G,77.0,330.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/bkbuobkm9dwoyprlaasp",Florida; Louisiana-Lafayette,Southeastern Conference,64.0,2023,2026,BUF,ACT,ACT,Active,4,G,A,2023.0,2.0,59.0,BUF
22123,TOR711924,Bob Torrey,Bob,Robert,Torrey,,,,TOR711924,,TorrBo00,,,,3200544f-5271-1924-1ca6-b634fe9c8052,1957-01-30,RB,RB,,,76.0,231.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/unkfkkurnkw7pckiumad",Penn State,,0.0,1979,1980,PHI,ACT,,,2,,,1979.0,6.0,145.0,NYG
22124,00-0019480,Mao Tosi,Mao,Falemao,Tosi,,,,TOS403290,25446.0,TosiMa20,,,2267.0,3200544f-5340-3290-bb9a-b5664bc217ea,1976-12-12,DL,DE,,,78.0,341.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/tus31ev5pfcwadpppuan",Idaho; Butler County JC,,78.0,2000,2001,ARI,ACT,,,2,,,2000.0,5.0,136.0,ARI
22125,00-0027257,Keith Toston,Keith,Roderick,Toston,,,,TOS749831,,TostKe00,,,13653.0,3200544f-5374-9831-4e8e-f89560ad3d92,1987-05-06,RB,RB,,,71.0,214.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/u2kln3qjuevuqey1yz6y",Oklahoma State,,35.0,2010,2012,JAX,ACT,,,2,,,,,,
22129,00-0020718,Erik Totten,Erik,Erik,Totten,,,,TOT600435,,TottEr20,,,,3200544f-5460-0435-f904-7f18b96a6133,1980-01-21,DB,DB,,,69.0,194.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/zu4w9du8sqkuvvrtq136",Western Washington University,,39.0,2002,2002,PIT,ACT,,,0,,,,,,
22130,TOT622935,Willie Totten,Willie,Willie,Totten,,,,TOT622935,,TottWi20,,,,3200544f-5462-2935-88a3-326c04bbc0aa,1962-07-04,QB,QB,,,74.0,195.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/mxckx1ehxcsnmuifl0k1",Mississippi Valley State University,,0.0,1987,1987,BUF,ACT,,,1,,,,,,
22133,00-0037098,Samori Toure,Samori,Samori,Toure,S.Toure,Samori,,TOU392758,54723.0,TourSa00,25276.0,10303.0,4027873.0,3200544f-5539-2758-4e4c-bbaa2bb8b9f5,1998-03-24,WR,WR,WR,WR,73.0,196.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/k6s7xiugz2wgqjc7zsny",Nebraska,Big Ten Conference,,2022,2025,NO,ACT,CUT,Waivers/No Rec.,3,WR,A,2022.0,7.0,258.0,GB
22134,TOU415291,Darrel Toussaint,Darrel,Darrel,Toussaint,,,,TOU415291,,TousDa20,,,,3200544f-5541-5291-212a-4a3d41779256,1958-10-03,DB,DB,,,72.0,175.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ylkq6r1c05yrowpaapjl",Northwestern State (LA),,0.0,1987,1987,NO,ACT,,,0,,,,,,
