,Player,Team,Sal,Opp,Pos,Ceiling,Floor,Own,Week
422,Chase Brown,CIN,6600,CLE,RB,30.4,8.5,0,1
423,MarShawn Lloyd,GB,4700,DET,RB,,,0,1
424,Marvin Mims,DEN,4500,TEN,WR,14.7,2.6,0,1
425,Isaac Guerendo,SF,5300,SEA,RB,7.1,,0,1
426,Jermar Jefferson,TEN,4000,DEN,RB,,,0,1
427,Lan Larison,NE,4000,LV,RB,,,0,1
428,Teagan Quitoriano,ATL,2500,TB,TE,4.0,,0,1
429,Brashard Smith,KC,4000,LAC,RB,7.1,,0,1
430,Gage Larvadain,CLE,3000,CIN,WR,4.3,,0,1
431,Zach Charbonnet,SEA,4900,SF,RB,14.5,1.9,0,1
432,Jeff Wilson Jr.,MIA,4000,IND,RB,,,0,1
433,Mason Taylor,NYJ,3100,PIT,TE,12.7,3.3,0,1
434,Jeremy McNichols,WAS,4000,NYG,RB,5.3,,0,1
435,Devin Neal,NO,4000,ARI,RB,5.9,,0,1
436,Will Mallory,IND,2500,MIA,TE,4.1,,0,1
437,Donovan Edwards,WAS,4000,NYG,RB,,,0,1
438,Dalevon Campbell,CAR,3000,JAX,WR,4.3,,0,1
439,Tyquan Thornton,KC,3100,LAC,WR,8.3,0.1,0,1
440,Joshua Simon,ATL,2500,TB,TE,,,0,1
441,Justin Jefferson,MIN,7800,CHI,WR,,,0,1
442,CJ Dippre,NE,2500,LV,TE,,,0,1
443,J.J. McCarthy,MIN,5500,CHI,QB,,,0,1
444,Connor Heyward,PIT,2500,NYJ,TE,3.7,,0,1
445,Zamir White,LV,4000,NE,RB,8.1,-0.1,0,1
446,Dalton Kincaid,BUF,3700,BAL,TE,16.5,4.8,0,1
447,Gavin Bartholomew,MIN,2500,CHI,TE,,,0,1
448,James Conner,ARI,6100,NO,RB,28.0,7.9,0,1
449,Ollie Gordon,MIA,4200,IND,RB,14.4,1.6,0,1
450,Malik Nabers,NYG,7000,WAS,WR,27.4,10.2,0,1
451,Rivaldo Fairweather,DAL,2500,PHI,TE,,,0,1
452,Ja'seem Reed,CAR,3000,JAX,WR,,,0,1
453,Bills,BUF,3000,BAL,DST,11.7,0.8,0,1
454,Chris Rodriguez,WAS,4000,NYG,RB,11.4,0.5,0,1
455,Packers,GB,2900,DET,DST,12.0,1.1,0,1
456,Chargers,LAC,2600,KC,DST,11.5,1.0,0,1
457,Josh Williams,TB,4000,ATL,RB,4.9,,0,1
458,Frank Gore Jr.,BUF,4000,BAL,RB,,,0,1
459,E.J. Jenkins,PHI,2500,DAL,TE,,,0,1
460,Hayden Rucci,MIA,2500,IND,TE,,,0,1
461,KeAndre Lambert-Smith,LAC,3000,KC,WR,8.2,0.1,0,1
462,DeVonta Smith,PHI,5900,DAL,WR,20.0,6.1,0,1
463,Antonio Gibson,NE,4500,LV,RB,6.7,,0,1
464,Taysom Hill,NO,3700,ARI,TE,6.2,-0.4,0,1
465,Jordan James,SF,4300,SEA,RB,,,0,1
466,Brock Wright,DET,2500,GB,TE,5.5,,0,1
467,Chris Moore,WAS,3000,NYG,WR,,,0,1
468,Elijah Arroyo,SEA,2700,SF,TE,9.5,1.5,0,1
469,Skyy Moore,SF,3100,SEA,WR,5.2,,0,1
470,Xavier Worthy,KC,5500,LAC,WR,25.1,8.1,0,1
471,Emanuel Wilson,GB,4200,DET,RB,8.7,-0.1,0,1
472,Will Sheppard,GB,3000,DET,WR,,,0,1
473,Tyler Lockett,TEN,4000,DEN,WR,14.0,2.9,0,1
474,Sean McKeon,IND,2500,MIA,TE,,,0,1
475,Ulysses Bentley IV,IND,4000,MIA,RB,,,0,1
476,Kaden Prather,BUF,3000,BAL,WR,,,0,1
477,D.J. Montgomery,IND,3000,MIA,WR,,,0,1
478,Dylan Sampson,CLE,4900,CIN,RB,19.3,3.4,0,1
479,Jack Westover,NE,2500,LV,TE,3.7,,0,1
480,Thomas Fidone II,NYG,2500,WAS,TE,,,0,1
481,Caleb Williams,CHI,5700,MIN,QB,,,0,1
482,Ben VanSumeren,PHI,4000,DAL,RB,,,0,1
483,Jacoby Brissett,ARI,4400,NO,QB,,,0,1
484,Joshua Cephus,JAX,3000,CAR,WR,,,0,1
485,Devin Singletary,NYG,4600,WAS,RB,7.1,-0.1,0,1
486,Tim Patrick,JAX,3600,CAR,WR,7.9,,0,1
487,Evan Deckers,TB,2500,ATL,TE,,,0,1
488,DJ Moore,CHI,6100,MIN,WR,,,0,1
489,Travis Kelce,KC,5200,LAC,TE,20.2,7.2,0,1
490,Tanner Taula,TB,2500,ATL,TE,,,0,1
491,Texans,HOU,2500,LAR,DST,12.6,1.6,0,1
492,Velus Jones Jr.,NO,4000,ARI,RB,5.3,,0,1
493,Quentin Skinner,NYJ,3000,PIT,WR,,,0,1
494,Titans,TEN,2200,DEN,DST,9.9,-0.1,0,1
495,Kyle Juszczyk,SF,4000,SEA,RB,8.7,0.4,0,1
496,Kimani Vidal,LAC,4000,KC,RB,,,0,1
497,Vikings,MIN,3200,CHI,DST,,,0,1
498,Kendre Miller,NO,4300,ARI,RB,12.7,1.0,0,1
499,Trevor Siemian,TEN,4000,DEN,QB,,,0,1
500,Xavier Hutchinson,HOU,3000,LAR,WR,5.6,,0,1
501,Tyler Badie,DEN,4000,TEN,RB,5.5,,0,1
502,Dontae Fleming,MIN,3000,CHI,WR,,,0,1
503,Kyle Allen,DET,4000,GB,QB,,,0,1
504,Anthony Gould,IND,3000,MIA,WR,4.3,,0,1
505,Brandon Johnson,PIT,3000,NYJ,WR,,,0,1
506,Tru Edwards,LAR,3000,HOU,WR,,,0,1
507,Myles Price,MIN,3000,CHI,WR,,,0,1
508,Mason Kinsey,TEN,3000,DEN,WR,,,0,1
509,Ja'Tavion Sanders,CAR,2900,JAX,TE,9.9,1.6,0,1
510,Shedeur Sanders,CLE,4900,CIN,QB,,,0,1
511,Coleman Owen,IND,3000,MIA,WR,,,0,1
512,Raheim Sanders,CLE,4000,CIN,RB,5.2,,0,1
513,Tyrone Tracy,NYG,5600,WAS,RB,17.3,3.1,0,1
514,Malik Washington,MIA,3200,IND,WR,11.1,1.4,0,1
515,Tyler Higbee,LAR,3400,HOU,TE,10.5,1.8,0,1
516,Ronnie Bell,DET,3000,GB,WR,,,0,1
517,Juwann Winfree,HOU,3000,LAR,WR,,,0,1
518,James Mitchell,CAR,2500,JAX,TE,3.7,,0,1
519,Isaiah Bond,CLE,3900,CIN,WR,5.5,,0,1
520,Jawhar Jordan,HOU,4000,LAR,RB,,,0,1
521,Cam Miller,LV,4000,NE,QB,,,0,1
522,Mitch Trubisky,BUF,4000,BAL,QB,,,0,1
523,Harrison Bryant,HOU,2500,LAR,TE,,,0,1
524,Brycen Tremayne,CAR,3000,JAX,WR,7.8,,0,1
525,Julius Chestnut,TEN,4000,DEN,RB,8.9,-0.1,0,1
526,Dawson Knox,BUF,2700,BAL,TE,8.6,0.6,0,1
527,Bears,CHI,2400,MIN,DST,,,0,1
528,Keaton Mitchell,BAL,4000,BUF,RB,8.8,-0.1,0,1
529,Hunter Long,JAX,2500,CAR,TE,3.9,,0,1
530,Tommy DeVito,NE,4000,LV,QB,,,0,1
531,Patriots,NE,3100,LV,DST,12.4,1.5,0,1
532,Joe Milton III,DAL,4500,PHI,QB,,,0,1
533,Max Brosmer,MIN,4000,CHI,QB,,,0,1
534,49ers,SF,2900,SEA,DST,12.6,1.6,0,1
535,Michael Bandy,DEN,3000,TEN,WR,,,0,1
536,Jacory Croskey-Merritt,WAS,4000,NYG,RB,14.1,1.3,0,1
537,Brenton Strange,JAX,3300,CAR,TE,14.7,4.1,0,1
538,Mason Rudolph,PIT,4200,NYJ,QB,,,0,1
539,Jamaal Pritchett,NYJ,3000,PIT,WR,,,0,1
540,Graham Mertz,HOU,4000,LAR,QB,,,0,1
541,Spencer Rattler,NO,4800,ARI,QB,25.0,8.2,0,1
542,Brittain Brown,CHI,4000,MIN,RB,,,0,1
543,Luke Farrell,SF,2500,SEA,TE,5.0,,0,1
544,Harold Fannin,CLE,3100,CIN,TE,9.3,1.3,0,1
545,Travis Homer,CHI,4000,MIN,RB,,,0,1
546,Treylon Burks,TEN,3200,DEN,WR,,,0,1
547,Erick All Jr.,CIN,2500,CLE,TE,,,0,1
548,Travis Vokolek,ARI,2500,NO,TE,3.7,,0,1
549,Cole Kmet,CHI,3300,MIN,TE,,,0,1
550,Josh Allen,BUF,7200,BAL,QB,35.1,12.3,0,1
551,De'Von Achane,MIA,6900,IND,RB,31.0,9.6,0,1
552,Stone Smartt,NYJ,2500,PIT,TE,3.9,,0,1
553,Jalen Tolbert,DAL,3800,PHI,WR,9.1,0.2,0,1
554,Shane Zylstra,DET,2500,GB,TE,3.9,,0,1
555,Demarcus Robinson,SF,3900,SEA,WR,,,0,1
556,Justin Shorter,LV,2500,NE,TE,,,0,1
557,Anthony Tyus III,SEA,4000,SF,RB,,,0,1
558,Jacob Saylors,DET,4000,GB,RB,,,0,1
559,Chris Blair,ATL,3000,TB,WR,,,0,1
560,Charlie Kolar,BAL,2500,BUF,TE,8.7,0.9,0,1
561,John FitzPatrick,GB,2500,DET,TE,3.7,,0,1
562,Marquez Valdes-Scantling,SF,3800,SEA,WR,,,0,1
563,Tanner McLachlan,CIN,2500,CLE,TE,,,0,1
564,Deion Hankins,CHI,4000,MIN,RB,,,0,1
565,Daniel Jones,IND,5100,MIA,QB,32.6,10.6,0,1
566,Jerome Ford,CLE,5600,CIN,RB,19.3,4.1,0,1
567,Quinn Ewers,MIA,4000,IND,QB,,,0,1
568,Bengals,CIN,3600,CLE,DST,14.5,1.9,0,1
569,Jalen McMillan,TB,4100,ATL,WR,,,0,1
570,Colts,IND,2800,MIA,DST,12.0,1.0,0,1
571,Marquise Brown,KC,4000,LAC,WR,18.8,5.5,0,1
572,Tez Johnson,TB,3000,ATL,WR,5.5,,0,1
573,Darius Cooper,PHI,3000,DAL,WR,4.3,,0,1
574,Drew Ogletree,IND,2500,MIA,TE,4.6,,0,1
575,Mason Tipton,NO,3000,ARI,WR,6.4,,0,1
576,Riley Leonard,IND,4100,MIA,QB,,,0,1
577,Bryce Pierre,CAR,2500,JAX,TE,,,0,1
578,Jalen Reagor,LAC,3000,KC,WR,,,0,1
579,David Njoku,CLE,4700,CIN,TE,19.2,6.6,0,1
580,Jared Wayne,HOU,3000,LAR,WR,,,0,1
581,Wan'Dale Robinson,NYG,4500,WAS,WR,18.4,5.0,0,1
582,Kenneth Walker,SEA,5900,SF,RB,27.2,7.4,0,1
583,Eli Pancol,JAX,3000,CAR,WR,,,0,1
584,Deshaun Watson,CLE,4000,CIN,QB,,,0,1
585,Chuba Hubbard,CAR,6000,JAX,RB,24.2,5.9,0,1
586,Jaylen Wright,MIA,4900,IND,RB,,,0,1
587,Anthony Miller,BAL,3000,BUF,WR,,,0,1
588,Tommy Tremble,CAR,2500,JAX,TE,7.3,0.2,0,1
589,Nick Vannett,MIN,2500,CHI,TE,,,0,1
590,Trevor Lawrence,JAX,5300,CAR,QB,30.3,12.0,0,1
591,Carlos Washington Jr.,ATL,4000,TB,RB,,,0,1
592,Will Shipley,PHI,4200,DAL,RB,8.2,,0,1
593,David Moore,CAR,3000,JAX,WR,7.7,,0,1
594,Michael Burton,DEN,4000,TEN,RB,,,0,1
595,Jordan Watkins,SF,3300,SEA,WR,,,0,1
596,Jaylen Waddle,MIA,5700,IND,WR,21.2,6.9,0,1
597,Rome Odunze,CHI,5100,MIN,WR,,,0,1
598,Chiefs,KC,3100,LAC,DST,12.0,1.2,0,1
599,Justin Watson,HOU,3000,LAR,WR,4.3,,0,1
600,Emari Demercado,ARI,4000,NO,RB,8.4,,0,1
601,Ja'Corey Brooks,WAS,3000,NYG,WR,,,0,1
602,Trent Sherfield Sr.,DEN,3000,TEN,WR,5.7,,0,1
603,Grant Calcaterra,PHI,2700,DAL,TE,6.7,,0,1
604,Luke Lachey,HOU,2500,LAR,TE,,,0,1
605,Treyton Welch,NO,2500,ARI,TE,,,0,1
606,Keith Kirkwood,BAL,3000,BUF,WR,,,0,1
607,Justin Herbert,LAC,5800,KC,QB,29.4,10.7,0,1
608,Davis Allen,LAR,2500,HOU,TE,3.9,,0,1
609,Zach Ertz,WAS,4100,NYG,TE,13.7,3.4,0,1
610,Aidan O'Connell,LV,4200,NE,QB,,,0,1
611,Alexander Mattison,MIA,4400,IND,RB,,,0,1
612,Brandin Cooks,NO,4100,ARI,WR,10.7,1.3,0,1
613,Nico Collins,HOU,7400,LAR,WR,27.7,10.6,0,1
614,Tucker Fisk,LAC,2500,KC,TE,3.7,,0,1
615,Jacoby Jones,WAS,3000,NYG,WR,,,0,1
616,Noah Brown,WAS,3100,NYG,WR,12.3,2.2,0,1
617,Albert Okwuegbunam Jr.,LV,2500,NE,TE,,,0,1
618,Tyreek Hill,MIA,6700,IND,WR,27.3,9.9,0,1
619,Austin Hooper,NE,2900,LV,TE,8.4,0.8,0,1
620,Devaughn Vele,NO,3900,ARI,WR,8.6,0.2,0,1
621,Cody Schrader,LAR,4000,HOU,RB,,,0,1
622,Kurtis Rourke,SF,4000,SEA,QB,,,0,1
623,Jahan Dotson,PHI,3400,DAL,WR,7.6,,0,1
624,Gunnar Helm,TEN,2600,DEN,TE,6.5,,0,1
625,Ray Davis,BUF,4200,BAL,RB,11.4,0.6,0,1
626,Joe Flacco,CLE,4900,CIN,QB,24.7,9.5,0,1
627,Tyler Shough,NO,4800,ARI,QB,,,0,1
628,Keenan Allen,LAC,4700,KC,WR,18.4,5.4,0,1
629,Joshua Dobbs,NE,4500,LV,QB,,,0,1
630,Malik Heath,GB,3000,DET,WR,4.7,,0,1
631,Jacob Cowing,SF,3500,SEA,WR,,,0,1
632,George Kittle,SF,5800,SEA,TE,22.2,8.2,0,1
633,Foster Moreau,NO,2700,ARI,TE,,,0,1
634,Jalen Nailor,MIN,3700,CHI,WR,,,0,1
635,Tanner Mordecai,SF,4000,SEA,QB,,,0,1
636,Xavier Legette,CAR,4200,JAX,WR,16.8,3.8,0,1
637,Tyrone Broden,SEA,3000,SF,WR,,,0,1
638,Cameron Latu,PHI,2500,DAL,TE,,,0,1
639,Browns,CLE,2300,CIN,DST,11.4,0.9,0,1
640,Davis Mills,HOU,4500,LAR,QB,,,0,1
641,RJ Harvey,DEN,5800,TEN,RB,20.7,4.0,0,1
642,Ben Yurosek,MIN,2500,CHI,TE,,,0,1
643,Raheem Mostert,LV,5000,NE,RB,7.6,-0.1,0,1
644,Marcus Mariota,WAS,4500,NYG,QB,,,0,1
645,Tetairoa McMillan,CAR,5200,JAX,WR,21.3,6.6,0,1
646,Trey Lance,LAC,4300,KC,QB,,,0,1
647,Kyle Monangai,CHI,4000,MIN,RB,,,0,1
648,Bucky Irving,TB,7100,ATL,RB,31.8,9.8,0,1
649,Cam Grandy,CIN,2500,CLE,TE,4.0,,0,1
650,Trishton Jackson,ARI,3000,NO,WR,,,0,1
651,Andrew DePaola,MIN,2500,CHI,TE,,,0,1
652,Dare Ogunbowale,HOU,4000,LAR,RB,8.3,,0,1
653,Khalil Herbert,IND,4300,MIA,RB,,,0,1
654,Chris Manhertz,NYG,2500,WAS,TE,4.0,,0,1
655,Tim Jones,MIN,3000,CHI,WR,,,0,1
656,Sam LaPorta,DET,5000,GB,TE,17.1,5.4,0,1
657,JP Richardson,CHI,3000,MIN,WR,,,0,1
658,Robert Woods,PIT,3400,NYJ,WR,,,0,1
659,Darnell Mooney,ATL,5000,TB,WR,17.8,5.1,0,1
660,Gary Brightwell,CIN,4000,CLE,RB,,,0,1
661,Jamari Thrash,CLE,3000,CIN,WR,12.3,2.1,0,1
662,Maurice Alexander,CHI,3000,MIN,WR,,,0,1
663,Michael Wilson,ARI,4200,NO,WR,11.8,1.6,0,1
664,Ty Johnson,BUF,4000,BAL,RB,10.4,0.2,0,1
665,Khadarel Hodge,ATL,3200,TB,WR,7.4,,0,1
666,Joe Burrow,CIN,6900,CLE,QB,32.4,14.3,0,1
667,Colby Parkinson,LAR,2500,HOU,TE,5.0,,0,1
668,Jalen Milroe,SEA,4300,SF,QB,7.1,-0.4,0,1
669,Elijah Higgins,ARI,2500,NO,TE,6.8,0.1,0,1
670,Calvin Austin,PIT,4400,NYJ,WR,12.5,2.2,0,1
671,Ryan Flournoy,DAL,3000,PHI,WR,,,0,1
672,Patrick Ricard,BAL,4000,BUF,RB,5.7,,0,1
673,Pierre Strong,CLE,4400,CIN,RB,,,0,1
674,Travis Etienne,JAX,5400,CAR,RB,16.4,2.4,0,1
675,Rashid Shaheed,NO,4600,ARI,WR,17.7,4.3,0,1
676,Eric Gray,NYG,4000,WAS,RB,,,0,1
677,Zonovan Knight,ARI,4000,NO,RB,4.9,,0,1
678,Chris Oladokun,KC,4000,LAC,QB,,,0,1
679,Hunter Luepke,DAL,4000,PHI,RB,7.0,,0,1
680,Ian Wheeler,CHI,4000,MIN,RB,,,0,1
681,Feleipe Franks,ATL,2500,TB,TE,3.9,,0,1
682,Zach Wood,NO,2500,ARI,TE,,,0,1
683,Emeka Egbuka,TB,4600,ATL,WR,20.9,6.5,0,1
684,Garrett Wilson,NYJ,6300,PIT,WR,23.6,8.2,0,1
685,Mecole Hardman,GB,3000,DET,WR,,,0,1
686,Terry McLaurin,WAS,6200,NYG,WR,20.9,6.3,0,1
687,Devontez Walker,BAL,3000,BUF,WR,4.6,,0,1
688,Puka Nacua,LAR,7600,HOU,WR,31.0,12.1,0,1
689,Jordan Love,GB,6100,DET,QB,27.9,11.3,0,1
690,Adam Prentice,DEN,4000,TEN,RB,,,0,1
691,Nate Adkins,DEN,2500,TEN,TE,,,0,1
692,Jake Briningstool,KC,2500,LAC,TE,,,0,1
693,Zavier Scott,MIN,4000,CHI,RB,,,0,1
694,Keleki Latu,BUF,2500,BAL,TE,,,0,1
695,Tucker Kraft,GB,4000,DET,TE,15.8,4.4,0,1
696,DJ Uiagalelei,LAC,4000,KC,QB,,,0,1
697,Cade McDonald,CLE,3000,CIN,WR,,,0,1
698,Malik Willis,GB,4600,DET,QB,,,0,1
699,Derrick Henry,BAL,7200,BUF,RB,25.3,6.0,0,1
700,Theo Wease Jr.,MIA,3000,IND,WR,,,0,1
701,DK Metcalf,PIT,5900,NYJ,WR,22.0,7.1,0,1
702,Brady Russell,SEA,4000,SF,RB,4.9,,0,1
703,Tylan Wallace,BAL,3000,BUF,WR,6.0,,0,1
704,Josh Reynolds,NYJ,3300,PIT,WR,12.0,1.9,0,1
705,Drake Maye,NE,5500,LV,QB,29.7,10.1,0,1
706,Khalil Shakir,BUF,5600,BAL,WR,18.6,5.4,0,1
707,Luke McCaffrey,WAS,3500,NYG,WR,7.2,,0,1
708,Nick Kallerup,SEA,2500,SF,TE,3.7,,0,1
709,Stefon Diggs,NE,5300,LV,WR,20.7,6.5,0,1
710,Tyler Johnson,NYJ,3000,PIT,WR,,,0,1
711,Jonathan Taylor,IND,6800,MIA,RB,28.0,7.7,0,1
712,Courtland Sutton,DEN,6000,TEN,WR,24.0,8.0,0,1
713,Chris Godwin Jr.,TB,5600,ATL,WR,,,0,1
714,John Bates,WAS,2500,NYG,TE,4.6,,0,1
715,Kevin Austin,NO,3000,ARI,WR,,,0,1
716,Beaux Collins,NYG,3000,WAS,WR,4.8,,0,1
717,Kyle McCord,PHI,4000,DAL,QB,,,0,1
718,TreVeyon Henderson,NE,5500,LV,RB,21.8,5.0,0,1
719,Elic Ayomanor,TEN,3100,DEN,WR,9.8,0.8,0,1
720,JaMycal Hasty,MIA,4000,IND,RB,,,0,1
721,David Sills V,ATL,3000,TB,WR,4.9,,0,1
722,Sal Cannella,CLE,2500,CIN,TE,,,0,1
723,AJ Dillon,PHI,4000,DAL,RB,,,0,1
724,Jordan Mims,TEN,4000,DEN,RB,,,0,1
725,Greg Dortch,ARI,3500,NO,WR,10.4,0.7,0,1
726,Gardner Minshew,KC,4000,LAC,QB,,,0,1
727,Trey Sermon,PIT,4000,NYJ,RB,,,0,1
728,Kyler Murray,ARI,6400,NO,QB,30.6,10.8,0,1
729,Jack Stoll,NO,2500,ARI,TE,,,0,1
730,Curtis Samuel,BUF,3300,BAL,WR,9.0,0.2,0,1
731,Bo Nix,DEN,6300,TEN,QB,31.3,10.9,0,1
732,Tee Higgins,CIN,6400,CLE,WR,28.4,10.9,0,1
733,John Metchie,PHI,3600,DAL,WR,5.5,,0,1
734,Breece Hall,NYJ,6400,PIT,RB,20.0,4.7,0,1
735,Robert Tonyan,KC,2500,LAC,TE,3.7,,0,1
736,Tre Tucker,LV,3100,NE,WR,8.9,0.1,0,1
737,Jayden Daniels,WAS,7000,NYG,QB,38.8,13.5,0,1
738,Jeremiah Webb,NE,3000,LV,WR,,,0,1
739,Jakobi Meyers,LV,5100,NE,WR,21.3,7.0,0,1
740,Dareke Young,SEA,3000,SF,WR,4.7,,0,1
741,Calvin Ridley,TEN,5000,DEN,WR,20.4,6.1,0,1
742,Jaden Smith,TB,3000,ATL,WR,,,0,1
743,Adam Trautman,DEN,2800,TEN,TE,6.7,,0,1
744,Adam Thielen,MIN,4700,CHI,WR,,,0,1
745,Elijah Mitchell,KC,4000,LAC,RB,5.5,,0,1
746,Xazavian Valladay,MIN,4000,CHI,RB,,,0,1
747,David Bell,CLE,3000,CIN,WR,,,0,1
748,Scotty Miller,PIT,3000,NYJ,WR,7.1,,0,1
749,Isaiah Neyor,GB,3000,DET,WR,,,0,1
750,Trevor Etienne,CAR,4500,JAX,RB,6.8,,0,1
751,Drew Sample,CIN,2500,CLE,TE,5.2,,0,1
752,Josiah Deguara,ARI,2500,NO,TE,,,0,1
753,Ricky Pearsall,SF,4500,SEA,WR,18.3,4.8,0,1
754,Lucky Jackson,MIN,3000,CHI,WR,,,0,1
755,Rashee Rice,KC,6000,LAC,WR,,,0,1
756,Robbie Ouzts,SEA,4000,SF,RB,5.6,,0,1
757,Michael Pittman Jr.,IND,4900,MIA,WR,20.3,6.5,0,1
758,Marvin Harrison Jr.,ARI,5500,NO,WR,20.4,5.9,0,1
759,D'Andre Swift,CHI,5900,MIN,RB,,,0,1
760,Tyler Goodson,IND,4000,MIA,RB,5.2,,0,1
761,Josh Kelly,HOU,3000,LAR,WR,,,0,1
762,DeAndre Carter,CLE,3000,CIN,WR,5.7,,0,1
763,Malik Turner,SF,3000,SEA,WR,,,0,1
764,Kenny Yeboah,DET,2500,GB,TE,,,0,1
765,Will Grier,DAL,4000,PHI,QB,,,0,1
766,J.K. Dobbins,DEN,5500,TEN,RB,16.1,2.2,0,1
767,Kareem Hunt,KC,4700,LAC,RB,15.6,1.5,0,1
768,Noah Fant,CIN,3900,CLE,TE,8.5,1.0,0,1
769,Brett Rypien,CIN,4000,CLE,QB,,,0,1
770,Cam Skattebo,NYG,5100,WAS,RB,16.3,2.1,0,1
771,Teddy Bridgewater,TB,4000,ATL,QB,,,0,1
772,Durham Smythe,CHI,2500,MIN,TE,,,0,1
773,Malik Davis,DAL,4000,PHI,RB,,,0,1
774,Jackson Meeks,DET,3000,GB,WR,,,0,1
775,Dontayvion Wicks,GB,3400,DET,WR,11.7,1.5,0,1
776,Kenneth Gainwell,PIT,4200,NYJ,RB,12.4,0.7,0,1
777,Erik Ezukanma,JAX,3000,CAR,WR,,,0,1
778,Bryce Ford-Wheaton,NYG,3000,WAS,WR,,,0,1
779,Ko Kieft,TB,2500,ATL,TE,3.7,,0,1
780,Miles Boykin,CHI,3000,MIN,WR,,,0,1
781,Tyler Ott,WAS,2500,NYG,TE,,,0,1
